PatientGuid,Forenames,Surname,DateOfBirth,Sex,PostCode,Ethnicity,PatientType,PatientStatus,NHSNumber
f55d8d56-6b05-4a1d-8ef3-f4f079e9bb06,Julie,Sutton,1966-07-28,I,N31QX,Black,4,11,6763201632
a8304616-5d60-4877-8906-d0cf6c2f900f,Jasmine,Morris,1979-12-05,I,G262PS,,4,1,7278895798
e32eaab1-58b2-4c99-9d06-1af272b5d67f,Frederick,Phillips,2015-10-17,I,CF6A3HT,Mixed,12,1,7743487347
c8ee653c-e762-4d7f-b773-5e508cf94b38,Stewart,Perry,1972-03-16,F,L035LD,Other,5,1,4558122362
5e87c392-8ad0-44f7-864f-2a06a8378582,Bruce,Hart,1962-08-10,M,SK851LG,,12,8,5876036690
ebd02c2e-c162-4104-9221-964a412095ed,Arthur,Thomas,2003-08-21,I,S5T6ZW,Black,1,8,4668893734
027a4c66-5f3b-450a-9549-00a92ed323fd,Emma,Sutton,1940-05-10,I,M068XH,Black,1,8,5627298069
86826704-183a-4515-8cae-dc7451de4c3d,Sharon,Rees,1974-03-10,F,HP9N4WN,,12,1,7204653755
843176d6-a903-4fbe-99cf-27823ff9bfc5,Michelle,Rose,2015-05-20,I,GY8E6RG,Asian,12,8,1708053100
e6dd4d2d-d40d-4117-94d5-52e540d5424f,Shirley,Hodgson,2008-05-22,M,B4E6YZ,White,1,11,2327193745
6d05ed76-a8ea-43ed-a692-45e49b010981,Danny,Hall,2013-09-21,M,SK382DN,Mixed,1,1,4190496631
a6448a98-0f93-492c-8e4f-28609060e731,Cheryl,Parkinson,1994-10-09,M,CA33HF,,5,11,9190586518
c7191f8e-4eed-4264-a97f-ff13847dbf16,Jordan,Smith,1927-12-11,U,PO179HR,,12,8,1657262849
d0114230-eb92-4c41-a155-5ffa75580008,Tracey,Smith,1991-11-26,I,SM0B3GW,Black,12,11,9453147379
